Id_heladeria,Des_heladeria,RMSE,R2
3409,PLAYA POSTIGUET,364,0.8495315
3859,VALENCIA,672,0.622925
3893,MURCIA,498,0.16836856
5280,MADRID,516,0.34999558
6021,MALVARROSA,385,0.7110202
6228,ALCALÁ DE HENARES,429,0.43372086
7190,CARABANCHEL,413,0.4969317
7357,PLAZA CASTILLA,429,0.3254018
9015,CIUTAT VELLA,389,0.4381253
9240,BARCELONA,355,0.61417234
11344,SAN CUGAT,541,0.2630343
12080,CARTAGENA,476,0.55692005
12337,DENIA,419,0.48868993
12540,ALCORCÓN,645,0.5400798
13828,TARRAGONA,447,0.6581767
14148,LLORET DE MAR,430,0.68662953
14679,TORREVIEJA,454,0.7061226
15499,MANACOR,319,0.41729262
15532,PUEBLO NUEVO,432,0.49820396
15566,TORREJÓN DE ARDOZ,755,0.45295942
15604,TOLEDO,624,0.5689315
16565,MENDEZ ÁLVARO,586,0.45139164
16916,CASTELLON,510,0.6143491
17522,ELCHE,603,0.4904906
17668,PLAYA SAN JUAN,508,0.41991135
17943,PLAZA URQUINAONA,419,0.5245759
18227,MOLINA DE SEGURA,477,0.4764417
18302,SABADELL,566,0.3510805
21227,PALMA,493,0.7005119
18037,PROSPERIDAD,337,-0.046411615
20759,GETAFE,442,0.10652045
